Timestamp,For how many years have you played Counter-Strike,How many hours have you played the game,What is your premier elo?,Have you ever deployed external software in order to enhance your gaming abilities?,What was the name of this software,How much did the software cost in EUR?,What did the software do?,How was your experience using this software,Would you categorise the use of the software as cheating?,Please give further reasoning for the answer to the previous question,Do you have any comments you want to share regarding the use of skill enhancing software?,Have you experienced cheaters in Counter-Strike 2,Do you believe that there is a problem with cheaters in CS2,Have you ever watched a demo because you were suspicious of a player potentially cheating?,How often do you experience playing in a match with a cheater?,"On a scale from 0 to 5, how big of a problem do you believe cheating is in Counter-Strike 2",Why do you believe that cheating is a problem?,Why do you believe that cheaters are not a problem?,Did you have access and make use of the overwatch feature when the feature was active,Do you think overwatch improved Counter-Strike,Did you feel like you aided the community when reviewing overwatch cases,Is there something else you want to remark regarding overwatch,What do you look for when determining whether a player is cheating or not?,Can you in more detail describe how you determine whether a player is cheating or not.,Do you have any comments for us?
2025/04/16 12:31:48 pm EET,1.5,200,11000.0,No,,,,,,,,Yes,Yes,No,Occasionally,4,Top ladder is filled with cheaters and is pointless,,"No, I did not have access to overwatch, and i have never reviewed a case",,,,,,
2025/04/16 12:36:12 pm EET,20.0,8000,22000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,5,"I am generally against cheating that harms other people. We’ve all cheated in an exam or something similar, but I like having a fair and level playing field. Cheating takes all the fun away from other players and as a 28 years old I do not really have the time to play 10 games a day anymore, therefore it makes my experience playing CS undeniably worse",,"Yes, I have reviewed cases and/or watched my own demos",Yes,Yes,"I would have liked more transparency from the platform. I understand some cases require more in depth analysis to determine whether or not the person was cheating, but most of them were players that were clearly cheating and I have no idea how Valve determines how banning them works","Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)","Besides spinbotting and aim which are pretty obvious I think the main factor determining whether or not a player is closet cheating is skill gap and overall game sense. There are some people who are really good at hiding their cheaths. Generally these players are good enough at the game and can perform well enough without cheating. In these cases I think you have to look for skill gaps or the timing factor. I argue that is really difficult to have the perfect timing to peek or to flank throughout a whole CS game. For example, if someone repeatedly peeks the second that an AWP turns away from the line, I would generally assume that the person is cheating if I was unsure about it beforehand",Good luck with the Thesis!
2025/04/16 12:44:58 pm EET,7.0,1800,14500.0,No,,,,,,,,Yes,Yes,No,Occasionally,3,It's such an easy game to cheat in. If a game is made with such a low time to kill as CS2 (i.e. you can easily die with one bullet) you need proper anti-cheat.,,"Yes, I have reviewed cases and/or watched my own demos",Yes,Yes,"A 'vac-store' such as in anomaly's april fools video could be a fun addition. Add a skinline in that store maybe called the 'Enforcer collection' or something like that, then people can redeem skins after doing overwatch cases accurately. ","Predictive playstyle;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)","If they consistently have advantageous timings on the opponents that make the others have a disadvantage. I.e. they peek exactly when the target was reloading/grabbing util/looking away, something like that.","Fun how you're doing a project on CS, good luck with your research! :)"
2025/04/16 12:46:29 pm EET,6.0,772,0.0,No,,,,,,,,Yes,Yes,No,Occasionally,2,"Hard to develop AI based anti-cheat solutions without affecting client performance, or be able to process all demos on current player scale server side, while keeping compatibility with community servers",,"No, I did not have access to overwatch, and i have never reviewed a case",,,,,,
2025/04/16 12:57:47 pm EET,7.0,6000,22000.0,Yes,"Too many to remember, but last one was anyx",13.0,Aim hack;Trigger hack;Wall hack;Grenade projectory preview,"Horrible, classic russian paste",Yes,It gives an advantage ,,Yes,Yes,Yes,Occasionally,2,"Because of a decent amount of cheaters in the game, although the number is exaggerated by the community ",,"Yes, I have reviewed cases and/or watched my own demos",Maybe,Yes,"Sounds good on paper, but it's not as effective  as you would think. Also botting problem ","Predictive playstyle;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)",,
2025/04/16 1:05:53 pm EET,5.0,1000,16000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,2,It makes the game not fun because of unwinnable situations outside your own control,,"No, I did not have access to overwatch, and i have never reviewed a case",,,,,,
2025/04/16 1:07:35 pm EET,20.0,12000,24500.0,Yes,x22,10.0,Aim hack;Trigger hack;Wall hack,Boring,Yes,It’s literally a cheat software,In closed environments ok (cheater versus cheater). For gaining competitive advantage pretty lame.,Yes,Yes,Yes,Often,5,They are in the majority of matches and impact competitive integrity ,,"Yes, I have reviewed cases and/or watched my own demos",Yes,Yes,,"Predictive playstyle;Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)",Most cheaters nowadays are painfully obvious to spot and do not require any additional investigation ,
2025/04/16 1:10:54 pm EET,9.0,1300,4000.0,Yes,"i dont remember, was just a dll of a script site",0.0,Aim hack;Trigger hack;Wall hack,got banned,Yes,no,,Yes,Yes,Yes,Occasionally,5,makes the game unfun,,"Yes, but i never reviewed a case nor watched my own demos",,,,,,
2025/04/16 1:12:35 pm EET,4.0,200,0.0,No,,,,,,,,Yes,Yes,No,Occasionally,4,Imo even one cheater is too much. Tho I myself don’t encounter too many and I think some do over exxagarate the issue,,"No, I did not have access to overwatch, and i have never reviewed a case",,,,,,
2025/04/16 1:14:08 pm EET,8.0,2500,13000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,3,Off putting. Want to play some games with mates and then there’s one person playing “too well” ruining the sportsmanship,,"Yes, I have reviewed cases and/or watched my own demos",Maybe,No,No rewards given for trying to catch a cheater,"Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)",Mostly timings/crosshair placement or them looking too far one way to see an enemy through a wall in an area in their peripheral vision,"Question about amount of cheaters in my games wasn’t easy to answer as it obviously wasn’t 0, but 50% was excessive, so data isn’t that useful for you guys. Also what server played on. I’m in Oceana so cheating may be different to Europe/NA etc"
